run,effect_threshold,washout_threshold,survives,washout,sign_inversion,reverse_inversion,hidden_after_control,weak_or_mixed,insufficient_data
image_480_default,0.15,0.05,26,1,2,0,0,12,0
image_480_default,0.15,0.1,26,3,2,0,0,10,0
image_480_default,0.15,0.15,26,7,2,0,0,6,0
image_480_default,0.2,0.05,21,1,0,0,1,18,0
image_480_default,0.2,0.1,21,3,0,0,1,16,0
image_480_default,0.2,0.15,21,7,0,0,1,12,0
image_480_default,0.25,0.05,13,1,0,0,0,27,0
image_480_default,0.25,0.1,13,3,0,0,0,25,0
image_480_default,0.25,0.15,13,7,0,0,0,21,0
image_480_strict,0.15,0.05,30,0,2,0,4,4,0
image_480_strict,0.15,0.1,30,1,2,0,4,3,0
image_480_strict,0.15,0.15,30,2,2,0,4,2,0
image_480_strict,0.2,0.05,29,0,2,0,4,5,0
image_480_strict,0.2,0.1,29,1,2,0,4,4,0
image_480_strict,0.2,0.15,29,1,2,0,4,4,0
image_480_strict,0.25,0.05,28,0,0,0,1,11,0
image_480_strict,0.25,0.1,28,1,0,0,1,10,0
image_480_strict,0.25,0.15,28,1,0,0,1,10,0
text_200_default,0.15,0.05,17,10,0,1,1,10,0
text_200_default,0.15,0.1,17,12,0,1,1,8,0
text_200_default,0.15,0.15,17,17,0,1,1,3,0
text_200_default,0.2,0.05,15,10,0,1,1,12,0
text_200_default,0.2,0.1,15,12,0,1,1,10,0
text_200_default,0.2,0.15,15,16,0,1,1,6,0
text_200_default,0.25,0.05,13,8,0,0,0,18,0
text_200_default,0.25,0.1,13,10,0,0,0,16,0
text_200_default,0.25,0.15,13,14,0,0,0,12,0
text_200_strict,0.15,0.05,15,6,5,2,1,9,0
text_200_strict,0.15,0.1,15,8,5,2,1,7,0
text_200_strict,0.15,0.15,15,12,5,2,1,3,0
text_200_strict,0.2,0.05,15,5,0,1,0,17,0
text_200_strict,0.2,0.1,15,7,0,1,0,15,0
text_200_strict,0.2,0.15,15,11,0,1,0,11,0
text_200_strict,0.25,0.05,12,5,0,0,1,20,0
text_200_strict,0.25,0.1,12,7,0,0,1,18,0
text_200_strict,0.25,0.15,12,11,0,0,1,14,0
full_680_default,0.15,0.05,22,2,0,1,2,14,0
full_680_default,0.15,0.1,22,7,0,1,2,9,0
full_680_default,0.15,0.15,22,15,0,1,2,1,0
full_680_default,0.2,0.05,19,2,0,1,2,17,0
full_680_default,0.2,0.1,19,7,0,1,2,12,0
full_680_default,0.2,0.15,19,13,0,1,2,6,0
full_680_default,0.25,0.05,13,2,0,0,0,26,0
full_680_default,0.25,0.1,13,6,0,0,0,22,0
full_680_default,0.25,0.15,13,12,0,0,0,16,0
full_680_strict,0.15,0.05,28,2,0,2,2,6,0
full_680_strict,0.15,0.1,28,4,0,2,2,4,0
full_680_strict,0.15,0.15,28,7,0,2,2,1,0
full_680_strict,0.2,0.05,26,2,0,1,3,8,0
full_680_strict,0.2,0.1,26,4,0,1,3,6,0
full_680_strict,0.2,0.15,26,6,0,1,3,4,0
full_680_strict,0.25,0.05,22,2,0,0,5,11,0
full_680_strict,0.25,0.1,22,4,0,0,5,9,0
full_680_strict,0.25,0.15,22,6,0,0,5,7,0
