scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,legacy_partial_reject,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,profile_pass
null_metric,no-increment,False,150,1,extra_trees,0,21762775,-0.016809635983821503,0.8382227341956333,-0.012741987572754162,0.8774266988824031,False,-0.061179087875417135,0.74,0.013920393576965562,0.010155622299378064,0.018412392521940137,0.34969470802530184,False,True,True,False,False
null_metric,no-increment,False,150,1,extra_trees,1,21762776,-0.0645059780434686,0.43289818528231605,-0.017321700476012985,0.8339226393431174,False,-0.28854282536151277,0.13,0.008218894098350318,0.0044126708543534695,0.012034537800338847,0.2660330232700532,False,True,True,False,False
null_metric,no-increment,False,150,1,extra_trees,2,21762777,0.049888439486199386,0.5443338487582372,-0.009149754182235958,0.9118156342588833,False,-0.14927697441601778,0.37,0.010374513449285621,0.006813086277498067,0.014055051822419742,0.25474023671869267,False,True,True,False,False
null_metric,no-increment,False,150,1,extra_trees,3,21762778,0.05884883772612116,0.4743995836928345,0.05774489401094785,0.48423086609834287,False,-0.057174638487208,0.83,0.007799646764254268,0.005471318241964839,0.010419190518859147,0.2904058790761405,False,True,True,False,True
null_metric,no-increment,False,150,1,extra_trees,4,21762779,-0.02532557002533446,0.7583652391475869,-0.1010561186773454,0.22008565848906073,False,-0.17196885428253617,0.37,0.012165209406880793,0.008480200840094603,0.016449561748153967,0.3752537900165787,False,True,True,False,False
null_metric,no-increment,False,150,1,extra_trees,5,21762780,-0.0033334814880661362,0.9677062894454077,0.005785869469446963,0.9441687268241097,False,-0.11412680756395997,0.47,0.01533549213913795,0.011288034409346708,0.01936146468333433,0.4234593429175962,False,True,True,False,False
null_metric,no-increment,False,150,1,extra_trees,6,21762781,-0.10527579003511266,0.19979362654879793,-0.1475994837193319,0.07243728242184663,False,0.05183537263626252,0.81,0.009913521159738727,0.005796923695125449,0.014428971842118839,0.265918490168284,False,True,True,False,True
null_metric,no-increment,False,150,1,extra_trees,7,21762782,0.2561376061158274,0.0015575639853322876,0.16678042277983682,0.04205954130643829,True,0.16662958843159065,0.33,0.010921849634889628,0.008281408081247884,0.01398651942009468,0.27246168251740077,False,True,True,False,False
null_metric,no-increment,False,150,1,extra_trees,8,21762783,0.06481888083914841,0.43066508026481976,0.11276370091913872,0.17092567923021465,False,0.2645161290322581,0.19,0.008964827658462935,0.005244419330235839,0.012567644287337254,0.2627623445177982,False,True,True,False,False
null_metric,no-increment,False,150,1,extra_trees,9,21762784,-0.05853949064402862,0.47672969114916164,-0.08060154580725135,0.328483881001069,False,-0.054505005561735265,0.77,0.011608578979116622,0.007403033594182025,0.01553553622325312,0.32598436830675637,False,True,True,False,False
