scope,case,case_name,expected_signal,expected_direction,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,sign_correct
task1,0,real_structure_null,False,0,96,1,extra_trees,0,21260719,0.06797341291372762,0.510513634781561,0.10144884988111923,0.34138483128917485,-0.052314934159275954,0.54,-3.822455287390801e-06,-4.168529925498187e-05,2.7815902834527866e-05,-0.0006614981442198895,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,1,extra_trees,0,21260719,0.8561584373304395,1.0604926605238835e-28,0.1400464135260373,0.18799833614602718,0.40679345614368273,0.01,0.020374913208082334,0.01183884294173252,0.029523881020485337,0.43844895549852164,True,True,True,True,True
task1,2,injected_increment,True,1,96,1,extra_trees,0,21260719,0.5833830710797613,4.447039168875856e-10,0.8241159347008392,1.9341875521893456e-23,0.7711097923247737,0.01,0.023130358187748914,0.016162497391462978,0.02971304034593683,0.5708051618556379,True,True,True,True,True
task1,3,task_specialist,True,1,96,1,extra_trees,0,21260719,0.8461882799782962,1.9429088095117303e-27,0.9184134012058017,3.3513594960924996e-37,0.8198916162126741,0.01,0.08103528810875228,0.05971210167293935,0.100394332571532,0.8047786620786165,True,True,True,True,True
task2,0,real_structure_null,False,0,54,1,extra_trees,0,22260722,-0.04196683819325328,0.7631790562688492,-0.10752914754836089,0.4573160343793204,0.018563695980552332,0.9,-0.00030301828813925763,-0.001047950720387429,0.00047664179414264664,-0.016855798936318875,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,1,extra_trees,0,22260722,0.8742138364779872,6.0469635084837e-18,0.20278165172662582,0.1578505898673838,0.5638865594266983,0.01,0.020955898218193467,0.009343018883575341,0.034153144410340015,0.4486267483637173,True,True,True,True,True
task2,2,injected_increment,True,1,54,1,extra_trees,0,22260722,0.6425385934819895,1.6237657129556286e-07,0.8406315756431877,2.2272796838605045e-14,0.8433955689150734,0.01,0.015582084474315899,0.009012846182763197,0.02412573212750027,0.38530276489188625,True,True,True,True,True
task2,3,task_specialist,True,-1,54,1,extra_trees,0,22260722,-0.7975223937488087,5.283856068481264e-13,-0.8517803627412943,4.460533100243179e-15,-0.8460614840775027,0.01,0.06124381331254481,0.034447547145631426,0.08936546466509025,0.6578825984588553,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,1,extra_trees,0,30260738,0.013385159145255175,0.8906433552181864,0.012928396862296502,0.8948520971745126,0.022449242089080224,0.88,0.047587371977522254,0.036507255236140075,0.06078363075531409,0.5433404888267086,False,True,True,False,True
task1,0,real_structure_null,False,0,96,1,extra_trees,1,21270726,-0.24605263157894738,0.01567016085274381,0.036624960878821035,0.7318143688172262,-0.08510133211125111,0.4,0.00020330006807309751,3.6558955906144575e-05,0.00037726775221806836,0.019641359905431678,False,True,True,False,True
task1,1,real_design_proxy,False,0,96,1,extra_trees,1,21270726,0.8872354856212696,2.4038050138893874e-33,0.23418155500806329,0.026312003518484006,0.3916333175876946,0.01,0.014251807635734578,0.008641483998440254,0.020228584302494315,0.4126705518142434,True,True,True,True,True
