scope,case,case_name,expected_signal,expected_direction,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,sign_correct
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,0,26260734,0.08672002170374389,0.4008337568140468,-0.12843739012657146,0.22764946790511378,-0.02038795442213782,0.88,-0.0021053543642808826,-0.0030944751319338768,-0.0012115052896557305,-0.32088817689213633,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,0,26260734,0.9193570265870863,7.359704147488533e-40,0.24267999568777648,0.021186234650236176,0.2486435160065111,0.005,-0.0007159124575761809,-0.005039646090657523,0.0029919889198902695,-0.033488715226074904,True,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,0,26260734,0.567200217037439,1.689478665983624e-09,0.7597734438354807,3.906038732532764e-18,0.8688415626695605,0.005,0.048608698783942625,0.032361360169719494,0.06530306391726157,0.6756678262866957,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,0,26260734,0.8649077590884426,6.859072333012391e-30,0.9405274091311593,4.930356343660451e-43,0.9499457406402605,0.005,0.1009255104559717,0.07576528280847424,0.1304988315381029,0.9064351169220042,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,0,27260737,0.12818753573470554,0.3556114783532144,-0.05334642662729751,0.7129198341862417,0.010558414331999236,0.955,-0.0017159681652288757,-0.0028950156463815884,-0.0005595232549191466,-0.42686150158916847,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,0,27260737,0.8870973889841813,4.2922316378206064e-19,0.1969627134258604,0.17038018927208426,0.1934438726891557,0.12,-0.00922232575653685,-0.021174475765774217,-9.527978420226868e-05,-0.3392369664899565,False,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,0,27260737,0.593215170573661,2.2777111341643593e-06,0.8189164129276584,3.683423834392953e-13,0.8771107299409185,0.005,0.029296149490103347,0.01711877413973636,0.041223248687354934,0.6953560517848233,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,0,27260737,-0.8188679245283018,3.867921090354925e-14,-0.9084690596468874,8.184656177916115e-20,-0.9159900895749951,0.005,0.06293768874784741,0.04197663752422693,0.0839981140548566,0.796945869851677,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,0,35260753,0.07953928377490069,0.41319983999533877,0.07163951905287605,0.4633852852993157,0.08336171766395885,0.365,0.059927696914343485,0.04487838852761953,0.07696226789954536,0.6906411235628481,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,1,26270741,0.0032962561041779705,0.9745728567852779,-0.154354886599692,0.14633737864482274,-0.11549104720564297,0.245,-0.0005046924754008551,-0.001559912014766021,0.0005211008525868324,-0.08401659880354553,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,1,26270741,0.898548562126967,2.1855608617934503e-35,0.17488824680335266,0.09921400791327628,0.2036218122626153,0.03,-0.006307560724868641,-0.010361149770089862,-0.002575684148925492,-0.3340249902658042,True,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,1,26270741,0.6540151926207272,5.009688301277491e-13,0.7542849525257679,9.262940948495489e-18,0.7751220835594139,0.005,0.022622132671699102,0.013903560911847376,0.031111321279157268,0.6167941291604789,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,1,26270741,0.8249186109603907,5.0866800953568055e-25,0.890461403306163,7.71858853645305e-32,0.8982637004883343,0.005,0.06255055150120993,0.04255259524832796,0.08501810600687507,0.749453496908976,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,1,27270744,0.04105202973127501,0.7681962359585547,0.05253077461792636,0.7171248780153078,0.08481036782923575,0.54,-0.0015987552827618568,-0.0026694971709819576,-0.0007677253175249496,-0.4480924513335306,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,1,27270744,0.9149990470745186,3.804352885742483e-22,0.1436703195493193,0.3195497514244417,0.1276538974652182,0.335,-0.004723512719975006,-0.00931603635851818,-0.00010384386178101919,-0.2606503896202117,False,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,1,27270744,0.5291023441966838,3.89964765139031e-05,0.7469477273382825,4.686968290039189e-10,0.8226796264532112,0.005,0.025085650173176655,0.011245803974078629,0.040573088632730576,0.701059165892638,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,1,27270744,-0.7612349914236707,2.361349007829392e-11,-0.8432707867068745,1.5394517850481458e-14,-0.7939393939393938,0.005,0.05317053136358462,0.02497945690883062,0.0859042407133991,0.663796735996272,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,1,35270760,0.1780845408556975,0.06519153288036895,0.1779855927868142,0.06663223957530824,0.17777206136882484,0.09,0.058248423666026596,0.04138039683973264,0.07426097362651503,0.6621893506381286,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,2,26280748,-0.0362316874660879,0.7259924456152506,-0.0857788175457287,0.4214678725940962,-0.3014107433532284,0.005,-0.0005161723438262414,-0.0018674451568332815,0.0010619741964857487,-0.07179982149640717,True,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,2,26280748,0.9002712967986978,1.0178359931611808e-35,0.256753723456084,0.014572527203227277,0.250732501356484,0.005,-0.001606594824861883,-0.005519007951158095,0.0017779153361894358,-0.07048050259371423,True,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,2,26280748,0.5480195333695063,7.508696392500503e-09,0.7288438280839383,3.8422062567461797e-16,0.8293678784590341,0.005,0.031359560029770486,0.019076400879007145,0.043406990405425665,0.6585915667461183,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,2,26280748,0.7970293000542593,2.6524430198307917e-22,0.8915785937640345,5.039688432208392e-32,0.8911828540423222,0.005,0.08365930355490914,0.06079931163221387,0.10896308257757821,0.7994056065673477,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,2,27280751,0.08305698494377739,0.5504449268305895,0.057645451225564026,0.6908984505044328,0.18200876691442727,0.145,-0.0014212355744206758,-0.002869421022552506,-0.0001510503565553888,-0.334102124856641,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,2,27280751,0.9284162378502,5.166859109040274e-24,0.400459252796478,0.00395511034553802,0.4770344959024203,0.005,-0.01588118681969127,-0.02564157692050871,-0.007393657855104479,-0.7044466033745419,True,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,2,27280751,0.4329712216504669,0.001075156002374764,0.7335318085819468,1.368731529867219e-09,0.8420430722317513,0.005,0.03212249440735889,0.01818630196246356,0.047625902724207234,0.6586604005145718,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,2,27280751,-0.7471316943015055,8.669993697436911e-11,-0.883869287852651,1.8630195976125692e-17,-0.9085191538021725,0.005,0.09296989715870627,0.05462511121903132,0.13057409036813492,0.7921024562463503,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,2,35280767,0.010231787133098974,0.9162986052356317,0.0005546520261578322,0.995476037436399,0.014734324832269656,0.88,0.045631803238550074,0.0286787306583932,0.061893637442108844,0.5284597457312088,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,3,26290755,0.054245794899620184,0.5996370959248901,-0.1750436394046467,0.09890938982038373,-0.11657623440043408,0.265,-0.0005201134213301695,-0.0015242688561561903,0.00027325769654137753,-0.06938119473447742,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,3,26290755,0.9138497015735215,1.4427614376378464e-38,0.2043629987066991,0.05334711624557313,0.1760716223548562,0.11,-0.0030754521427991503,-0.006675996565693434,0.0002571678485447576,-0.20249718284964288,False,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,3,26290755,0.4459169831795985,5.285293358164586e-06,0.7698908325381999,7.473385135852575e-19,0.7859468258274552,0.005,0.03246609103687331,0.01737997251702553,0.046715475648952065,0.5795125280031845,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,3,26290755,0.7633749321758003,1.539413872915267e-19,0.880954373626669,2.4331283041724548e-30,0.893543136190993,0.005,0.07218266402736778,0.049114424087272256,0.0937743899409545,0.7462745677796725,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,3,27290758,-0.12521440823327615,0.3669709157657635,-0.07166430434975525,0.6209087169641923,-0.031446540880503145,0.86,-0.0010878646498308636,-0.001702769910933272,-0.0003860806400611548,-0.26513040902130597,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,3,27290758,0.88336192109777,9.541203346554089e-19,0.3203845274841531,0.023309830110560474,0.5538784067085953,0.005,0.001309791290461642,-0.0062631126845272425,0.009463488527620592,0.04385426869770894,True,True,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,3,27290758,0.40392605298265666,0.0024536672261694353,0.7166537341649151,4.829140884143023e-09,0.8513436249285304,0.005,0.033166516279983266,0.017492856067726582,0.05324029781615349,0.6638690636804215,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,3,27290758,-0.8052220316371259,2.1355298615443293e-13,-0.9049414013046159,1.9475521768312294e-19,-0.9149990470745186,0.005,0.08734348566035735,0.06246822971882794,0.11419549961873249,0.7664586288155774,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,3,35290774,0.008726552154486648,0.928576940830865,0.011329112070234309,0.9077979703486476,0.015298393705950446,0.86,0.05510274108595447,0.039811022183096345,0.07131106134961314,0.6332348371149161,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,4,26300762,-0.052211068909386864,0.6134145103563495,-0.013302504211850133,0.9009668571550405,0.06129951166576234,0.56,-0.0006967301905315389,-0.0019148363834637651,0.0003767254317427764,-0.09893210891479441,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,4,26300762,0.8425800325556159,5.2921342000098025e-27,0.01452863674789414,0.8918914487494419,0.03814432989690721,0.72,-0.005491417568511268,-0.009690334652360025,-0.0013425981530913518,-0.21740730203404482,False,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,4,26300762,0.4509088442756376,4.0204612220485105e-06,0.7403895049525566,7.477136720595241e-17,0.7356755290287574,0.005,0.025843047146066587,0.014846757682187165,0.036964283991287816,0.5445263222474266,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,4,26300762,0.6782419967444383,3.160248691240881e-14,0.8105164121165714,3.7469400479024296e-22,0.7562533912099837,0.005,0.04832869231903373,0.026689586758797765,0.0701117630295377,0.5879526688023688,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,4,27300765,-0.010634648370497426,0.9391629879877657,0.04090523788951292,0.7779082760044119,-0.13009338669716025,0.405,-0.00270772852441221,-0.004551043630712555,-0.0010366690133777057,-0.7554256616739674,False,False,False,False,True
