scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,legacy_partial_reject_rate,legacy_partial_reject_ci_low,legacy_partial_reject_ci_high,crossfit_residual_reject_rate,crossfit_residual_reject_ci_low,crossfit_residual_reject_ci_high,joint_increment_decision_rate,joint_increment_decision_ci_low,joint_increment_decision_ci_high,profile_pass_rate,profile_pass_ci_low,profile_pass_ci_high,repetitions,median_residual_r,median_delta_mse,median_relative_mse_improvement
clustered_null,conditional-null,False,150,2,polynomial_ridge,0.36,0.2727122040140433,0.4576459754839126,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.0849833147942158,-0.000935335339002228,-0.04884528552268691
clustered_null,conditional-null,False,150,4,polynomial_ridge,0.29,0.2101483574912227,0.3853889117557111,0.11,0.06254196357064568,0.18631296503080313,0.01,0.0017674320641406505,0.054486196178705315,1.0,0.9630065017930143,1.0,100,0.02736585364948809,-0.0017753722632447566,-0.09195290885563671
clustered_null,conditional-null,False,150,6,polynomial_ridge,0.37,0.28182360534324524,0.4677947041905709,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.0055617352614015575,-0.0042622607271408045,-0.18227236616372786
clustered_null,conditional-null,False,300,2,polynomial_ridge,0.33,0.24563122734128034,0.4269465620490947,0.09,0.04807254000256516,0.1622621285271631,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.04848569046957489,-0.0007206056525785442,-0.035071878748003577
clustered_null,conditional-null,False,300,4,polynomial_ridge,0.39,0.3001687400639441,0.4879698295415926,0.02,0.00550196755016235,0.07001179072854388,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.04320644623506531,-0.0010458064634138661,-0.060312588366326456
clustered_null,conditional-null,False,300,6,polynomial_ridge,0.33,0.24563122734128034,0.4269465620490947,0.1,0.0552291370606751,0.17436566150491345,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.029619338705195897,-0.0016750121006964703,-0.08317644382573235
clustered_null,conditional-null,False,600,2,polynomial_ridge,0.46,0.36560808309024106,0.5573513967663177,0.14,0.08526343659939134,0.22137188210963837,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.015895211374290796,-0.0002981296234823797,-0.016513776394237005
clustered_null,conditional-null,False,600,4,polynomial_ridge,0.44,0.34672026630160796,0.5377189534832302,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.013122439058267934,-0.0005606389344553365,-0.03157298659530773
clustered_null,conditional-null,False,600,6,polynomial_ridge,0.37,0.28182360534324524,0.4677947041905709,0.05,0.02154367915436796,0.11175046923191913,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.019688867282450166,-0.0006492334990805537,-0.033834330157163875
genuine_increment,increment-survives,True,150,2,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8418242491657396,0.04001437940200418,0.7264458563997744
genuine_increment,increment-survives,True,150,4,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8527252502780868,0.0418312078886324,0.7429096001067435
