scope,case,case_name,expected_signal,expected_direction,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,sign_correct
task1,0,real_structure_null,False,0,96,2,polynomial_ridge,0,22260722,0.009753119913185025,0.9248620325008063,-0.034421189706083315,0.747392922541019,-0.09289202387411828,0.35,-0.00134172793953081,-0.0019877702360396507,-0.0006657994750757421,-0.11588330937323302,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,2,polynomial_ridge,0,22260722,0.8851600651112316,5.3912924814833585e-33,0.09858204530130436,0.3552715248823191,0.0830846446011937,0.335,-0.0004636286459695667,-0.001446227215296425,0.00042315962534897496,-0.024164147127802713,False,False,False,False,True
task1,2,injected_increment,True,1,96,2,polynomial_ridge,0,22260722,0.46961475854584916,1.3870304335620182e-06,0.6731511483842307,3.643526380361116e-13,0.6534590341833966,0.005,0.02534794913267858,0.012302165339501426,0.03810471274048221,0.4622106817697569,True,True,True,True,True
task1,3,task_specialist,True,1,96,2,polynomial_ridge,0,22260722,0.8272381985892566,2.877023401535726e-25,0.9144764902826868,2.445214190074178e-36,0.9088714053174172,0.005,0.04638371917484366,0.030973852925346,0.06229735536134454,0.8236613265965435,True,True,True,True,True
task2,0,real_structure_null,False,0,54,2,polynomial_ridge,0,23260725,-0.07962645321135886,0.5670841053142122,0.0425644285877033,0.7691427193636435,0.025195349723651606,0.82,-0.0008132803584239272,-0.0014073033466926856,-0.0003418342364929437,-0.0864219197625171,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,2,polynomial_ridge,0,23260725,0.9076043453401942,3.033090010971575e-21,0.25335215980267217,0.07585695228877205,0.36382694873260907,0.01,0.00263482915256915,-0.00014626201025534356,0.005519327706992726,0.1344582803700249,True,True,False,False,True
task2,2,injected_increment,True,1,54,2,polynomial_ridge,0,23260725,0.545721364589289,1.974139849760583e-05,0.7273826017257257,2.1901749252955153e-09,0.8530970078139889,0.005,0.03949913704831769,0.020376551233556143,0.05804792538221989,0.6849621476777522,True,True,True,True,True
task2,3,task_specialist,True,-1,54,2,polynomial_ridge,0,23260725,-0.8319039451114921,6.580101325046074e-15,-0.9225270264684043,1.758390057582722e-21,-0.9352010672765388,0.005,0.07561348769386335,0.048412286370018646,0.1027826317127258,0.8629853280008511,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,2,polynomial_ridge,0,31260741,-0.018882124858288798,0.8462050676252785,-0.01885794608437385,0.8471202490480071,-0.0029630264794836825,0.97,-0.0030653708429307785,-0.006326507173467421,0.0003791179022637426,-0.035551724169220526,False,False,False,False,True
task1,0,real_structure_null,False,0,96,2,polynomial_ridge,1,22270729,0.07380629408572978,0.4748230753857006,-0.07463673701735019,0.48446164883754445,-0.05717580032555616,0.54,-0.00030511596904492233,-0.001672376915756903,0.0010868464669750591,-0.024803523342726147,False,False,False,False,True
