study_id,scope,baseline_level,metric,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.dist_spec_init,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5799610723043086,0.5304876742408131,survives,0.4049285867742932,0.3914940794940795,0.005,0.32964108622528066,0.46149445726152893,0.01750919856888914,0.006716774513732609,0.01079242405515653,0.00956109676845606,0.01193851177171325,0.6163859535143331,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.dist_spec_init_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5891697483643795,0.5805752180312329,survives,0.4655865359261753,0.45941321141321134,0.005,0.3977927108839494,0.5141431482580241,0.017404606979730033,0.00957847712819714,0.007826129851532892,0.006601627408472288,0.008957277669935282,0.44965852205955903,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.fro_dist,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6552146470449223,0.6354290373579173,survives,0.5834631888679751,0.5896971616971618,0.005,0.5359599327974565,0.6394199778277764,0.017677089008253277,0.010259688886944745,0.007417400121308532,0.006151864320646816,0.008384292217294509,0.4196052934872599,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.fro_over_spec,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.38230773757413766,-0.37037213877157604,reverse-inversion,-0.1670412179938316,-0.14994386994386993,0.005,-0.20888571763908717,-0.0920097013559968,0.017334825823730683,0.016706990992447136,0.0006278348312835462,7.977332274993593e-05,0.001237523020893892,0.03621812169719441,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.fro_over_spec_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.37249170936121434,-0.3426378525283006,reverse-inversion,-0.15605376059932255,-0.1453952653952654,0.005,-0.20965653586116842,-0.09043516541433683,0.017555686140584576,0.01714808322257561,0.0004076029180089674,-5.6659453679517166e-05,0.000868370821412272,0.023217715032321427,0.005333333333333333,residual-dependence-only
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.inverse_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6156671101206138,0.05621716805816667,washout,0.08131274090065693,0.0917776997776998,0.01,0.03717664311758641,0.15784730731678145,0.01747286100083359,0.01746281986943386,1.0041131399730202e-05,-0.0001598892842061429,0.00017878913955078792,0.0005746701355462716,0.01032258064516129,residual-dependence-only
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_fro,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.23942058056682555,0.1956547103741835,weak-or-mixed,0.3354934881196833,0.34358799158799164,0.005,0.2926369751059743,0.39979158730288117,0.017468475409903726,0.012190564727030785,0.005277910682872941,0.004171497178362353,0.006384225111563802,0.30213917122272943,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_fro_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.23946292407667238,0.21144980049133005,sign-inversion,0.3418443445340003,0.3502588822588823,0.005,0.29799393831301957,0.4064804997935147,0.017373126031611893,0.012130735078941829,0.005242390952670064,0.004045921030597875,0.006334582670353652,0.3017528879449262,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2614898213947085,0.510280152084128,sign-inversion,0.5003715192592167,0.5023976743976745,0.005,0.4575380819656517,0.5456681436975894,0.01737606513857839,0.007980727161962617,0.009395337976615774,0.008335659816374812,0.010464573243117281,0.5407057295012216,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3121074388097063,0.32077033467739785,sign-inversion,0.34834006819889635,0.3462610902610903,0.005,0.2981293867831998,0.3922674758880313,0.01733029903181863,0.007717503274171587,0.009612795757647044,0.008546619421437114,0.010494681037150757,0.5546814708735169,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2650638733199442,0.5123596756625008,sign-inversion,0.49332533856704347,0.4934834654834655,0.005,0.4509621170805145,0.5362978373435408,0.01726321161596696,0.008157476101718785,0.009105735514248174,0.008148252854126983,0.010099664787310308,0.5274647450782661,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec_over_margin_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3148149162460588,0.32611686981142896,sign-inversion,0.34361839216659473,0.3405361965361966,0.005,0.29286100331641074,0.3890669408078542,0.017553556918528397,0.008384516480733269,0.009169040437795128,0.008066950818876118,0.01020644352867519,0.5223465808298308,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_init_main,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2522302191791605,0.5123579696657681,sign-inversion,0.5231518416853853,0.522982518982519,0.005,0.47727838424865116,0.5638859036664255,0.017591730497558175,0.008013554055452855,0.00957817644210532,0.008550274665630114,0.01064856087768602,0.544470394395527,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_init_main_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.29307729037208957,0.35643101935564997,sign-inversion,0.38290344005437466,0.3731268131268131,0.005,0.3249986135407835,0.42306487210132965,0.017413708087663626,0.007789508859533848,0.009624199228129779,0.008693618056514916,0.010618682387463647,0.55267948559146,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_orig_main,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.25314009934646137,0.46679056658611456,sign-inversion,0.48357612704427017,0.4827306387306388,0.005,0.43860238260409,0.5280529768142037,0.017358609436751014,0.008064633203966144,0.00929397623278487,0.008397021106216193,0.010276609987885281,0.5354101817112149,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_orig_main_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.29357516342160084,0.34373573546289343,sign-inversion,0.37847164735449035,0.36842032442032446,0.005,0.3118524177228311,0.41657059171613847,0.01730198078017354,0.007451772689115767,0.009850208091057772,0.008812643458394559,0.010944478605333641,0.5693110064221777,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_fro,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5779416955322724,0.3808963327116705,survives,0.27090839349431706,0.28422748422748423,0.005,0.22887363799139168,0.34454160199979117,0.017387778333862385,0.015709813542639468,0.0016779647912229176,0.0010062192889057312,0.002355791690557352,0.09650254098047198,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_fro_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.548223564701861,0.32991147540730265,survives,0.25009370000988806,0.26223249423249423,0.005,0.19723353390654166,0.3199876066656411,0.017264285243742745,0.015989438282709673,0.0012748469610330722,0.0005801731331888763,0.0019559852231988916,0.07384302002859497,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_spec,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6295547817734444,0.5680429008950925,survives,0.5230509264500993,0.5201529401529402,0.005,0.4674430582431796,0.5676633382632268,0.01746367662717074,0.012426541080231111,0.005037135546939629,0.004056906017728617,0.006034888509673043,0.28843499879645257,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_spec_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6099080962904855,0.5221451131118255,survives,0.4028219893433463,0.3920934680934681,0.005,0.3352198741829093,0.45205658256697073,0.01742151582931515,0.014406998778006984,0.0030145170513081656,0.0021825896154411086,0.003935190317061932,0.17303414242724183,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_spec_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6030874311609701,0.5444996150857383,survives,0.4701711014340862,0.4648033048033049,0.005,0.4138383781880284,0.5123104719429253,0.017367779159684744,0.013476779983881642,0.003890999175803102,0.0029721893340527053,0.004720444158596516,0.22403550505957323,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_spec_over_margin_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5866170706709996,0.4989684531058254,survives,0.3444208619026896,0.3305671505671506,0.005,0.27741329763484607,0.38882899691972495,0.017278646291998098,0.015024054545397523,0.002254591746600575,0.0015349609999829865,0.0030280588348901233,0.13048428149401364,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.pacbayes_flatness,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6625467610550482,0.5008711201354978,survives,0.5608574096319188,0.5796564516564517,0.005,0.5376729439503792,0.6191179110654477,0.017593570504455307,0.011549078965703145,0.006044491538752162,0.0049483785539342386,0.007055564603450687,0.34356252684590005,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.pacbayes_init,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6927113036470601,0.6712523181580096,survives,0.6334995910222089,0.6414832734832736,0.005,0.5895493701429745,0.6842102840577291,0.01737420251914562,0.007744295362845325,0.009629907156300296,0.008433910445686076,0.010797057793259965,0.5542647005345168,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.pacbayes_mag_flatness,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.7204511403519301,0.6280605738435198,survives,0.5844063879597485,0.6305462825462825,0.005,0.5819246990550745,0.6788778565280317,0.017518764862507464,0.008996909678567732,0.008521855183939732,0.007618811199719125,0.009448735988831147,0.48644155286184926,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.pacbayes_mag_init,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.30098123892172746,0.10974222662755596,weak-or-mixed,0.30130470476207016,0.29961973161973166,0.005,0.23783895011553133,0.36117133681324737,0.017375925751457046,0.013543897341905795,0.0038320284095512518,0.002662414759100323,0.004995288325304168,0.22053664733402303,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.pacbayes_mag_orig,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.27170563444551593,-0.039477540028510234,washout,0.16582477532474477,0.1631549231549232,0.005,0.09900060431218263,0.22619301054450508,0.017567467205275425,0.016234016136026617,0.0013334510692488075,0.0006656759053110148,0.0020253816026844134,0.07590457142554839,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.pacbayes_orig,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6457030913061134,0.6285678734083296,survives,0.5799408069376568,0.5881927921927923,0.005,0.5315640063487558,0.6320161169262608,0.017208611649287758,0.01057840208212237,0.006630209567165387,0.005298655814901145,0.007709136784198453,0.38528439727093283,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.param_norm,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5875206397347865,0.5447107586726676,survives,0.4626767537845523,0.4708712548712549,0.005,0.4180556275360935,0.5267680407212442,0.01751035771721209,0.013571159325732135,0.003939198391479954,0.0030955510955912625,0.004839398838146873,0.22496390165735194,0.005333333333333333,increment-supported
