hyperparameter,source_config,destination_config,weight_sum,effective_sample_size,complexity.dist_spec_init_fft,complexity.fro_dist,complexity.fro_over_spec_fft,complexity.inverse_margin,complexity.log_prod_of_fro,complexity.log_prod_of_fro_over_margin,complexity.log_prod_of_spec_fft,complexity.log_prod_of_spec_over_margin_fft,complexity.log_spec_init_main_fft,complexity.log_spec_orig_main_fft,complexity.log_sum_of_fro,complexity.log_sum_of_fro_over_margin,complexity.log_sum_of_spec_fft,complexity.log_sum_of_spec_over_margin_fft,complexity.pacbayes_flatness,complexity.pacbayes_init,complexity.pacbayes_mag_flatness,complexity.pacbayes_mag_init,complexity.pacbayes_mag_orig,complexity.pacbayes_orig,complexity.param_norm,complexity.params,complexity.path_norm,complexity.path_norm_over_margin
hp.dataset,-9215028591064597233,1265618961717963242,50.0,100.0,0.69,1.0,0.0,0.1,0.0,0.0,0.96,0.91,0.59,0.84,0.0,0.0,0.96,0.91,0.05,0.52,0.09,1.0,1.0,0.17,0.99,0.5,1.0,1.0
hp.dataset,1265618961717963242,-9215028591064597233,50.0,100.0,0.69,1.0,0.0,0.1,0.0,0.0,0.96,0.91,0.59,0.84,0.0,0.0,0.96,0.91,0.05,0.52,0.09,1.0,1.0,0.17,0.99,0.5,1.0,1.0
hp.dataset,-4925556964554421379,-9203390116646303883,50.0,100.0,0.83,0.69,0.31,0.0,1.0,1.0,0.96,0.9,0.83,0.89,1.0,1.0,0.96,0.9,0.0,0.0,0.02,1.0,1.0,0.0,0.83,0.5,1.0,1.0
hp.dataset,-9203390116646303883,-4925556964554421379,50.0,100.0,0.83,0.69,0.31,0.0,1.0,1.0,0.96,0.9,0.83,0.89,1.0,1.0,0.96,0.9,0.0,0.0,0.02,1.0,1.0,0.0,0.83,0.5,1.0,1.0
hp.dataset,-9189606704704823680,8998454878609518201,50.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.98,0.92,0.74,0.89,0.0,0.0,0.98,0.92,0.01,1.0,0.66,1.0,1.0,0.92,1.0,0.5,0.31,0.12
hp.dataset,8998454878609518201,-9189606704704823680,50.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.98,0.92,0.74,0.89,0.0,0.0,0.98,0.92,0.01,1.0,0.66,1.0,1.0,0.92,1.0,0.5,0.31,0.12
hp.dataset,-6908944666122499966,-9189106766392000589,50.0,100.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,1.0,1.0,0.0,0.0,0.5,0.46,0.01
hp.dataset,-9189106766392000589,-6908944666122499966,50.0,100.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,1.0,1.0,0.0,0.0,0.5,0.46,0.01
hp.dataset,-8094330723375758649,-9184970794289370768,50.0,100.0,1.0,0.82,0.01,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03,0.28,0.3,1.0,1.0,0.25,0.96,0.5,1.0,1.0
hp.dataset,-9184970794289370768,-8094330723375758649,50.0,100.0,1.0,0.82,0.01,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03,0.28,0.3,1.0,1.0,0.25,0.96,0.5,1.0,1.0
hp.dataset,-2663918635727708892,-9183739334419324358,50.0,100.0,1.0,1.0,0.41,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.765,1.0,0.775,1.0,1.0,0.99,0.96,0.5,1.0,1.0
hp.dataset,-9183739334419324358,-2663918635727708892,50.0,100.0,1.0,1.0,0.41,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.765,1.0,0.775,1.0,1.0,0.99,0.96,0.5,1.0,1.0
hp.dataset,-6236891526817797406,-9126990343635290800,50.0,100.0,0.97,0.09,0.32,0.02,0.35,0.19,0.94,0.9,0.89,0.9,0.35,0.19,0.94,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.5,0.01,0.0
hp.dataset,-9126990343635290800,-6236891526817797406,50.0,100.0,0.97,0.09,0.32,0.02,0.35,0.19,0.94,0.9,0.89,0.9,0.35,0.19,0.94,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.5,0.01,0.0
hp.dataset,-9045028962930396625,6526456936436059805,50.0,100.0,0.0,0.0,1.0,0.0,0.77,0.41,0.87,0.86,0.83,0.86,0.77,0.41,0.87,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.5,0.98,0.76
hp.dataset,6526456936436059805,-9045028962930396625,50.0,100.0,0.0,0.0,1.0,0.0,0.77,0.41,0.87,0.86,0.83,0.86,0.77,0.41,0.87,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.5,0.98,0.76
hp.dataset,-9019583836294415073,2000686202486377191,15.0,30.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0
hp.dataset,2000686202486377191,-9019583836294415073,15.0,30.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0
hp.dataset,-3400634835874782034,-8980624628020321232,45.0,90.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5888888888888889,0.0,0.0,0.5,0.08888888888888889,0.0
hp.dataset,-8980624628020321232,-3400634835874782034,45.0,90.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5888888888888889,0.0,0.0,0.5,0.08888888888888889,0.0
hp.dataset,-8966877504795741640,815231090459926838,50.0,100.0,0.0,0.0,1.0,0.0,1.0,0.99,0.61,0.4,0.4,0.49,1.0,0.99,0.61,0.4,0.0,0.0,0.0,0.0,0.14,0.0,1.0,0.5,1.0,1.0
hp.dataset,815231090459926838,-8966877504795741640,50.0,100.0,0.0,0.0,1.0,0.0,1.0,0.99,0.61,0.4,0.4,0.49,1.0,0.99,0.61,0.4,0.0,0.0,0.0,0.0,0.14,0.0,1.0,0.5,1.0,1.0
hp.dataset,-8938488763629659208,2669803334973672789,50.0,100.0,1.0,1.0,0.21,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.895,1.0,0.81,1.0,1.0,0.98,0.99,0.5,1.0,1.0
hp.dataset,2669803334973672789,-8938488763629659208,50.0,100.0,1.0,1.0,0.21,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.895,1.0,0.81,1.0,1.0,0.98,0.99,0.5,1.0,1.0
hp.dataset,-8933779815182729460,8236851151040337865,49.33194387802041,99.91224011940598,0.0,0.0,1.0,0.9898662926883978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11693070490483368,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,8236851151040337865,-8933779815182729460,49.33194387802041,99.91224011940598,0.0,0.0,1.0,0.9898662926883978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11693070490483368,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8816374228048116317,6691536861855683040,50.0,100.0,0.0,0.0,1.0,0.0,0.64,0.25,0.0,0.0,0.0,0.0,0.64,0.25,0.0,0.0,0.0,0.0,0.11,0.1,0.62,0.0,0.25,0.5,0.9,0.35
hp.dataset,6691536861855683040,-8816374228048116317,50.0,100.0,0.0,0.0,1.0,0.0,0.64,0.25,0.0,0.0,0.0,0.0,0.64,0.25,0.0,0.0,0.0,0.0,0.11,0.1,0.62,0.0,0.25,0.5,0.9,0.35
hp.dataset,-8793550033514982181,7387538424811921937,18.0,36.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,0.0,0.2222222222222222,0.16666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.5,0.027777777777777776,0.0
hp.dataset,7387538424811921937,-8793550033514982181,18.0,36.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,0.0,0.2222222222222222,0.16666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.5,0.027777777777777776,0.0
hp.dataset,-1899577233977140498,-8774153044326048547,50.0,100.0,0.03,0.01,0.62,0.02,0.57,0.29,0.96,0.91,0.73,0.94,0.57,0.29,0.96,0.91,0.0,0.0,0.135,1.0,1.0,0.0,0.01,0.5,1.0,1.0
hp.dataset,-8774153044326048547,-1899577233977140498,50.0,100.0,0.03,0.01,0.62,0.02,0.57,0.29,0.96,0.91,0.73,0.94,0.57,0.29,0.96,0.91,0.0,0.0,0.135,1.0,1.0,0.0,0.01,0.5,1.0,1.0
hp.dataset,-8769968563521659137,259726829023820822,16.0,32.0,0.65625,0.0,0.28125,0.03125,0.03125,0.0,0.9375,0.8125,0.78125,0.84375,0.03125,0.0,0.9375,0.8125,0.0,0.0,0.0,0.0,0.46875,0.0,0.0,0.5,0.0,0.0
hp.dataset,259726829023820822,-8769968563521659137,16.0,32.0,0.65625,0.0,0.28125,0.03125,0.03125,0.0,0.9375,0.8125,0.78125,0.84375,0.03125,0.0,0.9375,0.8125,0.0,0.0,0.0,0.0,0.46875,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8758357633982174774,957646248878915862,11.019046095190962,38.77180792063862,0.0,0.0,1.0,0.9878891304357865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,957646248878915862,-8758357633982174774,11.019046095190962,38.77180792063862,0.0,0.0,1.0,0.9878891304357865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-4800595012629907710,-8758022463301673029,50.0,100.0,0.06,0.0,0.56,0.0,0.0,0.0,0.87,0.71,0.41,0.71,0.0,0.0,0.87,0.71,0.0,0.0,0.45,0.96,1.0,0.0,0.0,0.5,1.0,1.0
