hyperparameter,metric,environments,mean_sign_error,p90_sign_error,max_sign_error
all,complexity.pacbayes_orig,9242,0.09717742357720124,0.36,1.0
all,complexity.pacbayes_flatness,9242,0.10242748032137478,0.5072659243634601,1.0
all,complexity.pacbayes_init,9242,0.10624723029252109,0.8194321653728341,1.0
all,complexity.path_norm_over_margin,9242,0.12170176437385426,0.99,1.0
all,complexity.pacbayes_mag_flatness,9242,0.1261411928040567,0.5199999990706646,1.0
all,complexity.path_norm,9242,0.12736073319627872,1.0,1.0
all,complexity.fro_dist,9242,0.14035393290961884,1.0,1.0
all,complexity.log_sum_of_fro,9242,0.1615909077395111,1.0,1.0
all,complexity.param_norm,9242,0.17876331862647962,1.0,1.0
all,complexity.log_sum_of_fro_over_margin,9242,0.18567862402677082,1.0,1.0
all,complexity.log_prod_of_fro_over_margin,9242,0.2985612895419191,1.0,1.0
all,complexity.log_prod_of_fro,9242,0.3013325887147912,1.0,1.0
all,complexity.log_sum_of_spec_fft,9242,0.30340997297867855,1.0,1.0
all,complexity.fro_over_spec_fft,9242,0.31151665314086974,1.0,1.0
all,complexity.inverse_margin,9242,0.3295665667220577,1.0,1.0
all,complexity.log_sum_of_spec_over_margin_fft,9242,0.33489980033901207,1.0,1.0
all,complexity.dist_spec_init_fft,9242,0.3745780861927532,1.0,1.0
all,complexity.pacbayes_mag_orig,9242,0.40706170879843756,1.0,1.0
all,complexity.pacbayes_mag_init,9242,0.41733274722389574,1.0,1.0
all,complexity.params,9242,0.4334144411679495,1.0,1.0
all,complexity.log_spec_orig_main_fft,9242,0.5506286549589554,1.0,1.0
all,complexity.log_spec_init_main_fft,9242,0.5613511552551588,1.0,1.0
all,complexity.log_prod_of_spec_fft,9242,0.5964703779104876,1.0,1.0
all,complexity.log_prod_of_spec_over_margin_fft,9242,0.6185368679346784,1.0,1.0
