hyperparameter,metric,environments,mean_sign_error,p90_sign_error,max_sign_error,study_id,scope,baseline_level,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification,source_mean_rank,mbe_abs_residual_rank,rank_gap
all,complexity.pacbayes_orig,9242,0.0971774235772012,0.36,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6457030913061134,0.6285678734083296,survives,0.5799408069376568,0.5881927921927923,0.005,0.5315640063487558,0.6320161169262608,0.0172086116492877,0.0105784020821223,0.0066302095671653,0.0052986558149011,0.0077091367841984,0.3852843972709328,0.0053333333333333,increment-supported,1.0,4.0,3.0
all,complexity.pacbayes_flatness,9242,0.1024274803213747,0.5072659243634601,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6625467610550482,0.5008711201354978,survives,0.5608574096319188,0.5796564516564517,0.005,0.5376729439503792,0.6191179110654477,0.0175935705044553,0.0115490789657031,0.0060444915387521,0.0049483785539342,0.0070555646034506,0.3435625268459,0.0053333333333333,increment-supported,2.0,5.0,3.0
all,complexity.pacbayes_init,9242,0.106247230292521,0.8194321653728341,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6927113036470601,0.6712523181580096,survives,0.6334995910222089,0.6414832734832736,0.005,0.5895493701429745,0.6842102840577291,0.0173742025191456,0.0077442953628453,0.0096299071563002,0.008433910445686,0.0107970577932599,0.5542647005345168,0.0053333333333333,increment-supported,3.0,1.0,2.0
all,complexity.path_norm_over_margin,9242,0.1217017643738542,0.99,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.4519828170074041,0.3604462620218806,survives,0.3272379632330263,0.3374659934659935,0.005,0.2759445327843622,0.3989667067566975,0.0173770930484764,0.0105013118620551,0.0068757811864212,0.005642525262162,0.0080965449503466,0.395680748629249,0.0053333333333333,increment-supported,4.0,15.0,11.0
all,complexity.pacbayes_mag_flatness,9242,0.1261411928040567,0.5199999990706646,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.7204511403519301,0.6280605738435198,survives,0.5844063879597485,0.6305462825462825,0.005,0.5819246990550745,0.6788778565280317,0.0175187648625074,0.0089969096785677,0.0085218551839397,0.0076188111997191,0.0094487359888311,0.4864415528618492,0.0053333333333333,increment-supported,5.0,2.0,3.0
all,complexity.path_norm,9242,0.1273607331962787,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.4475992855828127,0.344967057275045,survives,0.3077758199732483,0.3192652512652513,0.005,0.2560533470770572,0.3755118199760443,0.0174886634812272,0.0107092902518036,0.0067793732294236,0.005641669854423,0.0080603471627633,0.3876438720832367,0.0053333333333333,increment-supported,6.0,17.0,11.0
all,complexity.fro_dist,9242,0.1403539329096188,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6552146470449223,0.6354290373579173,survives,0.5834631888679751,0.5896971616971618,0.005,0.5359599327974565,0.6394199778277764,0.0176770890082532,0.0102596888869447,0.0074174001213085,0.0061518643206468,0.0083842922172945,0.4196052934872599,0.0053333333333333,increment-supported,7.0,3.0,4.0
all,complexity.log_sum_of_fro,9242,0.1615909077395111,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5779416955322724,0.3808963327116705,survives,0.270908393494317,0.2842274842274842,0.005,0.2288736379913916,0.3445416019997911,0.0173877783338623,0.0157098135426394,0.0016779647912229,0.0010062192889057,0.0023557916905573,0.0965025409804719,0.0053333333333333,increment-supported,8.0,19.0,11.0
all,complexity.param_norm,9242,0.1787633186264796,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5875206397347865,0.5447107586726676,survives,0.4626767537845523,0.4708712548712549,0.005,0.4180556275360935,0.5267680407212442,0.017510357717212,0.0135711593257321,0.0039391983914799,0.0030955510955912,0.0048393988381468,0.2249639016573519,0.0053333333333333,increment-supported,9.0,6.0,3.0
all,complexity.log_sum_of_fro_over_margin,9242,0.1856786240267708,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.548223564701861,0.3299114754073026,survives,0.250093700009888,0.2622324942324942,0.005,0.1972335339065416,0.3199876066656411,0.0172642852437427,0.0159894382827096,0.001274846961033,0.0005801731331888,0.0019559852231988,0.0738430200285949,0.0053333333333333,increment-supported,10.0,20.0,10.0
all,complexity.log_prod_of_fro_over_margin,9242,0.2985612895419191,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2394629240766723,0.21144980049133,sign-inversion,0.3418443445340003,0.3502588822588823,0.005,0.2979939383130195,0.4064804997935147,0.0173731260316118,0.0121307350789418,0.00524239095267,0.0040459210305978,0.0063345826703536,0.3017528879449262,0.0053333333333333,increment-supported,11.0,11.0,0.0
