hyperparameter,metric,environments,mean_sign_error,p90_sign_error,max_sign_error
all,complexity.dist_spec_init_fft,9242,0.3745780861927532,1.0,1.0
all,complexity.fro_dist,9242,0.14035393290961884,1.0,1.0
all,complexity.fro_over_spec_fft,9242,0.31151665314086974,1.0,1.0
all,complexity.inverse_margin,9242,0.3295665667220577,1.0,1.0
all,complexity.log_prod_of_fro,9242,0.3013325887147912,1.0,1.0
all,complexity.log_prod_of_fro_over_margin,9242,0.2985612895419191,1.0,1.0
all,complexity.log_prod_of_spec_fft,9242,0.5964703779104876,1.0,1.0
all,complexity.log_prod_of_spec_over_margin_fft,9242,0.6185368679346784,1.0,1.0
all,complexity.log_spec_init_main_fft,9242,0.5613511552551588,1.0,1.0
all,complexity.log_spec_orig_main_fft,9242,0.5506286549589554,1.0,1.0
all,complexity.log_sum_of_fro,9242,0.1615909077395111,1.0,1.0
all,complexity.log_sum_of_fro_over_margin,9242,0.18567862402677082,1.0,1.0
all,complexity.log_sum_of_spec_fft,9242,0.30340997297867855,1.0,1.0
all,complexity.log_sum_of_spec_over_margin_fft,9242,0.33489980033901207,1.0,1.0
all,complexity.pacbayes_flatness,9242,0.10242748032137478,0.5072659243634601,1.0
all,complexity.pacbayes_init,9242,0.10624723029252109,0.8194321653728341,1.0
all,complexity.pacbayes_mag_flatness,9242,0.1261411928040567,0.5199999990706646,1.0
all,complexity.pacbayes_mag_init,9242,0.41733274722389574,1.0,1.0
all,complexity.pacbayes_mag_orig,9242,0.40706170879843756,1.0,1.0
all,complexity.pacbayes_orig,9242,0.09717742357720124,0.36,1.0
all,complexity.param_norm,9242,0.17876331862647962,1.0,1.0
all,complexity.params,9242,0.4334144411679495,1.0,1.0
all,complexity.path_norm,9242,0.12736073319627872,1.0,1.0
all,complexity.path_norm_over_margin,9242,0.12170176437385426,0.99,1.0
hp.dataset,complexity.dist_spec_init_fft,986,0.41687437618725653,1.0,1.0
hp.dataset,complexity.fro_dist,986,0.29254451205769666,1.0,1.0
hp.dataset,complexity.fro_over_spec_fft,986,0.5516174117469727,1.0,1.0
hp.dataset,complexity.inverse_margin,986,0.2104426712564395,0.9899975080554817,1.0
hp.dataset,complexity.log_prod_of_fro,986,0.4364860292776115,1.0,1.0
hp.dataset,complexity.log_prod_of_fro_over_margin,986,0.3949662202045569,1.0,1.0
hp.dataset,complexity.log_prod_of_spec_fft,986,0.5484940757912361,1.0,1.0
hp.dataset,complexity.log_prod_of_spec_over_margin_fft,986,0.5147609120276463,1.0,1.0
hp.dataset,complexity.log_spec_init_main_fft,986,0.48346009476587565,1.0,1.0
hp.dataset,complexity.log_spec_orig_main_fft,986,0.5151979163312835,1.0,1.0
hp.dataset,complexity.log_sum_of_fro,986,0.4364860292776115,1.0,1.0
hp.dataset,complexity.log_sum_of_fro_over_margin,986,0.3949662202045569,1.0,1.0
hp.dataset,complexity.log_sum_of_spec_fft,986,0.5484940757912361,1.0,1.0
hp.dataset,complexity.log_sum_of_spec_over_margin_fft,986,0.5147609120276463,1.0,1.0
hp.dataset,complexity.pacbayes_flatness,986,0.13425699872338295,0.635,1.0
hp.dataset,complexity.pacbayes_init,986,0.17405679504098265,1.0,1.0
hp.dataset,complexity.pacbayes_mag_flatness,986,0.1849852987924047,0.67,1.0
hp.dataset,complexity.pacbayes_mag_init,986,0.4176470588235294,1.0,1.0
hp.dataset,complexity.pacbayes_mag_orig,986,0.49581052727604447,1.0,1.0
hp.dataset,complexity.pacbayes_orig,986,0.14578544270584326,0.88,1.0
hp.dataset,complexity.param_norm,986,0.4848168534400314,1.0,1.0
hp.dataset,complexity.params,986,0.5,0.5,0.5
hp.dataset,complexity.path_norm,986,0.5574925142470781,1.0,1.0
hp.dataset,complexity.path_norm_over_margin,986,0.48731375500391727,1.0,1.0
hp.lr,complexity.dist_spec_init_fft,2418,0.8921046422331226,1.0,1.0
hp.lr,complexity.fro_dist,2418,0.11057412456009454,0.5760937930544955,1.0
hp.lr,complexity.fro_over_spec_fft,2418,0.0007412105288001137,0.0,0.4704047979146566
hp.lr,complexity.inverse_margin,2418,0.906631178529638,1.0,1.0
hp.lr,complexity.log_prod_of_fro,2418,0.0004303248260482827,0.0,0.4704047979146566
hp.lr,complexity.log_prod_of_fro_over_margin,2418,0.0004303248260482827,0.0,0.4704047979146566
hp.lr,complexity.log_prod_of_spec_fft,2418,0.5193222500622476,1.0,1.0
hp.lr,complexity.log_prod_of_spec_over_margin_fft,2418,0.5675106827776066,1.0,1.0
hp.lr,complexity.log_spec_init_main_fft,2418,0.4129079567795731,1.0,1.0
hp.lr,complexity.log_spec_orig_main_fft,2418,0.3837478471319298,1.0,1.0
hp.lr,complexity.log_sum_of_fro,2418,0.0004303248260482827,0.0,0.4704047979146566
hp.lr,complexity.log_sum_of_fro_over_margin,2418,0.0004303248260482827,0.0,0.4704047979146566
hp.lr,complexity.log_sum_of_spec_fft,2418,0.5193222500622476,1.0,1.0
hp.lr,complexity.log_sum_of_spec_over_margin_fft,2418,0.5675106827776066,1.0,1.0
hp.lr,complexity.pacbayes_flatness,2418,0.008775734470911385,0.01848334335770359,0.37376494292253165
hp.lr,complexity.pacbayes_init,2418,0.02552326080268666,0.0,1.0
hp.lr,complexity.pacbayes_mag_flatness,2418,0.14026023175304084,0.4100314552340431,0.8409555207399965
hp.lr,complexity.pacbayes_mag_init,2418,0.47211455110382755,1.0,1.0
hp.lr,complexity.pacbayes_mag_orig,2418,0.40098381618973955,1.0,1.0
hp.lr,complexity.pacbayes_orig,2418,0.011873716789873971,0.0,1.0
hp.lr,complexity.param_norm,2418,0.0646695143444082,0.0,1.0
hp.lr,complexity.params,2418,0.5,0.5,0.5
hp.lr,complexity.path_norm,2418,0.0004303248260482827,0.0,0.4704047979146566
hp.lr,complexity.path_norm_over_margin,2418,0.0004303248260482827,0.0,0.4704047979146566
hp.model_depth,complexity.dist_spec_init_fft,2538,0.24659626620639646,1.0,1.0
hp.model_depth,complexity.fro_dist,2538,0.1988458753224958,1.0,1.0
hp.model_depth,complexity.fro_over_spec_fft,2538,0.8028895303438042,1.0,1.0
hp.model_depth,complexity.inverse_margin,2538,0.23095467689013388,0.969999919770471,1.0
hp.model_depth,complexity.log_prod_of_fro,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.log_prod_of_fro_over_margin,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.log_prod_of_spec_fft,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.log_prod_of_spec_over_margin_fft,2538,0.7911583924349882,1.0,1.0
hp.model_depth,complexity.log_spec_init_main_fft,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.log_spec_orig_main_fft,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.log_sum_of_fro,2538,0.30196656964431123,1.0,1.0
hp.model_depth,complexity.log_sum_of_fro_over_margin,2538,0.40581101632393546,1.0,1.0
hp.model_depth,complexity.log_sum_of_spec_fft,2538,0.31376852574918823,1.0,1.0
hp.model_depth,complexity.log_sum_of_spec_over_margin_fft,2538,0.3974223431296217,1.0,1.0
hp.model_depth,complexity.pacbayes_flatness,2538,0.19675348151657385,1.0,1.0
hp.model_depth,complexity.pacbayes_init,2538,0.19085725612462442,1.0,1.0
hp.model_depth,complexity.pacbayes_mag_flatness,2538,0.23013142966759423,1.0,1.0
hp.model_depth,complexity.pacbayes_mag_init,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.pacbayes_mag_orig,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.pacbayes_orig,2538,0.17681602316087164,1.0,1.0
hp.model_depth,complexity.param_norm,2538,0.2981447811675624,1.0,1.0
hp.model_depth,complexity.params,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.path_norm,2538,0.20757956478340983,1.0,1.0
hp.model_depth,complexity.path_norm_over_margin,2538,0.208083280104767,1.0,1.0
hp.model_width,complexity.dist_spec_init_fft,328,0.8165920400038584,1.0,1.0
hp.model_width,complexity.fro_dist,328,0.7210948704405494,1.0,1.0
hp.model_width,complexity.fro_over_spec_fft,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.inverse_margin,328,0.18280109313786688,0.5291013130484475,1.0
hp.model_width,complexity.log_prod_of_fro,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.log_prod_of_fro_over_margin,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.log_prod_of_spec_fft,328,0.644006379685468,1.0,1.0
hp.model_width,complexity.log_prod_of_spec_over_margin_fft,328,0.630155358703224,1.0,1.0
hp.model_width,complexity.log_spec_init_main_fft,328,0.6704249617774196,1.0,1.0
hp.model_width,complexity.log_spec_orig_main_fft,328,0.7598331182353708,1.0,1.0
hp.model_width,complexity.log_sum_of_fro,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.log_sum_of_fro_over_margin,328,0.9012691014457006,1.0,1.0
