task,split,n,nuisance_model,polynomial_degree,target,controls,raw_train_loss_r,partial_train_loss_r,crossfit_train_loss_residual_r,crossfit_permutation_p,residual_ci_low,residual_ci_high,hyperparameter_baseline_mse,plus_train_loss_mse,train_loss_delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,increment_classification
task1,development,96,polynomial_ridge,4,generalization_gap_accuracy,"hp.convwidth,hp.dropout_p,hp.num_conv_blocks,hp.num_dense_layers,hp.weight_decay,hp.bs",0.4485892566467716,0.1217792210354495,0.019872490504612043,0.885,-0.15454020718421513,0.21466936780287632,0.012819737306735204,0.012370932254734434,0.00044880505200077005,-0.0010186961183754086,0.0020982149775444396,0.035008911747745244,no-supported-increment
task1,development,96,polynomial_ridge,6,generalization_gap_accuracy,"hp.convwidth,hp.dropout_p,hp.num_conv_blocks,hp.num_dense_layers,hp.weight_decay,hp.bs",0.4485892566467716,0.1217792210354495,0.06827183939229517,0.435,-0.09564070106240376,0.2536920308052354,0.01566663535587627,0.01551932988436862,0.00014730547150765098,-0.0016065661945731007,0.00206649048388527,0.009402495696205718,no-supported-increment
task1,development,96,polynomial_ridge_interactions,6,generalization_gap_accuracy,"hp.convwidth,hp.dropout_p,hp.num_conv_blocks,hp.num_dense_layers,hp.weight_decay,hp.bs",0.4485892566467716,0.1217792210354495,0.24598480737927292,0.015,0.061952233431713424,0.43303068582287746,0.007179231010095675,0.008108728835651904,-0.0009294978255562298,-0.0022835130323569618,0.00014202739056865416,-0.12947038815844467,residual-dependence-only
task2,development,54,polynomial_ridge,4,generalization_gap_accuracy,"hp.depth,hp.dropout_p,hp.weight_decay,hp.bs",-0.07749190013340956,-0.07651694273581676,0.14305317324185246,0.255,-0.14213062739811577,0.39894418685995237,0.007389592417337299,0.008036961631767899,-0.0006473692144306001,-0.0018995841380617258,0.0005113713085739396,-0.08760553733812933,no-supported-increment
task2,development,54,polynomial_ridge,6,generalization_gap_accuracy,"hp.depth,hp.dropout_p,hp.weight_decay,hp.bs",-0.07749190013340956,-0.07651694273581676,0.13809796073947014,0.31,-0.1356961193907495,0.3963053711943179,0.007294804847304644,0.008383622876494764,-0.00108881802919012,-0.0023758766339756054,0.00027977628974542337,-0.1492593773214409,no-supported-increment
task2,development,54,polynomial_ridge_interactions,6,generalization_gap_accuracy,"hp.depth,hp.dropout_p,hp.weight_decay,hp.bs",-0.07749190013340956,-0.07651694273581676,0.10920526014865635,0.42,-0.174574147374725,0.36824376730893554,0.004182575084690758,0.0047611528166215,-0.000578577731930742,-0.0013025299968402813,8.496765460785032e-05,-0.13833050697606772,no-supported-increment
task4,validation,96,polynomial_ridge,4,generalization_gap_accuracy,"hp.nparams,hp.depth,hp.wd,hp.reverse,hp.lr,hp.bs",0.6552767227346717,0.279346543437009,0.10500542593597396,0.325,-0.11563752967102192,0.2870966085704775,0.018530127336812554,0.019427426020075682,-0.0008972986832631279,-0.00363901989260866,0.0014343686428594333,-0.04842377318587148,no-supported-increment
task4,validation,96,polynomial_ridge,6,generalization_gap_accuracy,"hp.nparams,hp.depth,hp.wd,hp.reverse,hp.lr,hp.bs",0.6552767227346717,0.279346543437009,0.13440043407487792,0.21,-0.06944034522984287,0.31212844526828554,0.019978700028691444,0.020502591438329918,-0.0005238914096384745,-0.003837636692428497,0.002700729518369023,-0.02622249740404096,no-supported-increment
task4,validation,96,polynomial_ridge_interactions,6,generalization_gap_accuracy,"hp.nparams,hp.depth,hp.wd,hp.reverse,hp.lr,hp.bs",0.6552767227346717,0.279346543437009,0.05737927292457949,0.6,-0.1540993041642437,0.27096652092879087,0.016973142313298877,0.014104193943076992,0.002868948370221884,-0.0008657501865347204,0.006662284900201428,0.16902871119945728,no-supported-increment
task5,validation,64,polynomial_ridge,4,generalization_gap_accuracy,"hp.nparams,hp.depth,hp.wd,hp.reverse,hp.lr,hp.bs",-0.12019230769230768,0.11906928297412253,0.07884615384615384,0.555,-0.1406420909196463,0.3010048352685355,0.08119961521629773,0.08389154777767621,-0.0026919325613784795,-0.01606975216901624,0.010691405289784132,-0.033152035932778365,no-supported-increment
