repetition,seed,scenario,expected_stable_increment,contains_conditional_increment,configurations,raw_spearman,raw_kendall,partial_spearman,granulated_kendall,granulated_min_axis,jiang_cmi,jiang_cmi_min_conditioning,mbe_additive_residual_r,mbe_additive_p,mbe_additive_delta,mbe_additive_delta_ci_low,mbe_additive_class,mbe_interaction_residual_r,mbe_interaction_p,mbe_interaction_delta,mbe_interaction_delta_ci_low,mbe_interaction_class
0,2026,independent_null,False,False,27,0.20573870573870573,0.10541310541310543,-0.04162842867261221,0.08641975308641976,-0.037037037037037014,0.006517709078477265,hp_c,-0.1452991452991453,0.405,-0.0005513763651949187,-0.0013371508831718974,no-supported-increment,-0.1343101343101343,0.5,-0.00041637076240479305,-0.0007579221932876827,no-supported-increment
0,3035,design_proxy,False,False,27,0.9871794871794871,0.9145299145299146,0.6326321970213791,0.8024691358024691,0.5555555555555556,0.4499302046101555,"hp_a,hp_c",0.8229548229548229,0.005,0.0030252438251738983,0.0008675523120721579,increment-supported,0.6874236874236873,0.005,0.0001803039731808065,-0.0018228944944381135,residual-dependence-only
0,4044,interaction_proxy,False,False,27,0.7564102564102564,0.5954415954415955,0.22438802452445467,0.45679012345679015,0.1111111111111111,0.1932718771322689,"hp_a,hp_c",0.7741147741147741,0.005,0.00542851730393914,0.0011247841987770798,increment-supported,0.19413919413919414,0.29,-0.0010056417727787228,-0.0018118408814507402,no-supported-increment
0,5053,genuine_increment,True,True,27,0.6898656898656899,0.50997150997151,0.8842357994522122,0.7530864197530865,0.5555555555555556,0.13450624938868697,hp_b,0.8809523809523808,0.005,0.042694935255025754,0.024811570468155526,increment-supported,0.9566544566544567,0.005,0.05725717338055093,0.037410209458659416,increment-supported
0,6062,axis_specialist_proxy,False,False,27,0.8553113553113553,0.6410256410256411,0.05406983632773416,0.38271604938271603,0.03703703703703703,0.013846470010681176,hp_a,0.09218559218559218,0.65,-0.0016129647576073828,-0.0027988208783559687,no-supported-increment,-0.12087912087912088,0.59,-0.0011894841619414804,-0.002224642664347936,no-supported-increment
0,7071,sign_flip_increment,False,True,27,-0.21978021978021978,-0.14529914529914534,-0.21526706454154407,-0.06172839506172842,-0.2592592592592593,0.015283017591014091,none,-0.39072039072039066,0.05,0.030962091929319875,0.006246389469412954,increment-supported,-0.24297924297924298,0.21,0.0870805868457916,0.05005944233180419,predictive-improvement-only
1,12033,independent_null,False,False,27,-0.15262515262515264,-0.08262108262108263,-0.12958876652578688,-0.08641975308641976,-0.40740740740740744,0.004929711203511809,none,-0.5115995115995117,0.025,-0.00041239759563032295,-0.0022299683143101154,residual-dependence-only,-0.47008547008547,0.02,0.00036031045940699245,-0.0014228270375696505,residual-dependence-only
1,13042,design_proxy,False,False,27,0.9633699633699633,0.8632478632478634,0.5889058046372274,0.654320987654321,0.40740740740740744,0.3284382444705826,"hp_a,hp_c",0.7057387057387058,0.005,0.005724753511697607,0.0026141989975079966,increment-supported,0.19108669108669107,0.38,0.00027837882908961394,-0.0013011942951630894,no-supported-increment
1,14051,interaction_proxy,False,False,27,0.6416361416361417,0.4586894586894587,0.37255208767605785,0.3333333333333333,-0.2592592592592593,0.15759666229213465,none,0.8125763125763125,0.005,0.004177322478270619,0.0012363440527655616,increment-supported,0.572039072039072,0.005,-0.0002591185822061956,-0.002711376015608496,residual-dependence-only
1,15060,genuine_increment,True,True,27,0.6593406593406593,0.41880341880341887,0.7985800640917714,0.5308641975308642,0.40740740740740744,0.13050715566707669,none,0.868131868131868,0.005,0.02821427323676456,0.012856845799807847,increment-supported,0.9914529914529915,0.005,0.04337370637592717,0.02667876752989772,increment-supported
