sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
100,0,null_metric,False,polynomial_ridge,0.97,-0.004695671419205065,-0.0050886708492676735,False,False
100,0,null_metric,False,polynomial_ridge_interactions,0.98,7.436649203201862e-05,-0.0012919918197928787,False,False
100,0,nonlinear_proxy,False,polynomial_ridge,0.39,-0.001712406970803871,-0.001345266104557997,False,False
100,0,nonlinear_proxy,False,polynomial_ridge_interactions,0.31,-3.244289058824956e-07,-0.0006272238386585252,False,False
100,0,heteroskedastic_null,False,polynomial_ridge,0.91,-0.0026592086255254627,-0.0031340151480465867,False,False
100,0,heteroskedastic_null,False,polynomial_ridge_interactions,0.52,-0.0003270073544167692,-0.0009324910563863701,False,False
100,0,clustered_null,False,polynomial_ridge,0.08,-0.0027810181063814693,-0.02027049239089605,False,False
100,0,clustered_null,False,polynomial_ridge_interactions,0.04,-0.001647919730158513,-0.0602919363750748,False,False
100,0,genuine_increment,True,polynomial_ridge,0.01,0.03705448219751538,0.02269308573787034,True,True
100,0,genuine_increment,True,polynomial_ridge_interactions,0.01,0.03623587492585861,0.022958637923833757,True,True
100,1,null_metric,False,polynomial_ridge,0.27,-0.0020758602746659624,-0.004348557326925517,False,False
100,1,null_metric,False,polynomial_ridge_interactions,0.37,-0.00025601616241257424,-0.0018045608335365557,False,False
100,1,nonlinear_proxy,False,polynomial_ridge,0.78,0.001371602816098813,-0.00025097408094706725,False,False
100,1,nonlinear_proxy,False,polynomial_ridge_interactions,0.57,0.00015011817146791395,-0.0013328067507255386,False,False
100,1,heteroskedastic_null,False,polynomial_ridge,0.08,-0.0008398244711391896,-0.0019461162642015878,False,False
100,1,heteroskedastic_null,False,polynomial_ridge_interactions,0.15,-3.0365806407806062e-05,-0.00035468411988660045,False,False
100,1,clustered_null,False,polynomial_ridge,0.63,-0.012480023236093447,-0.05003553077667943,False,False
100,1,clustered_null,False,polynomial_ridge_interactions,0.89,-0.005503179632110881,-0.0701753553291548,False,False
100,1,genuine_increment,True,polynomial_ridge,0.01,0.06379275437674814,0.04898768059432532,True,True
100,1,genuine_increment,True,polynomial_ridge_interactions,0.01,0.05871423859884787,0.048995678934466165,True,True
100,2,null_metric,False,polynomial_ridge,0.16,-0.00416034189029775,-0.0055164002824492075,False,False
100,2,null_metric,False,polynomial_ridge_interactions,0.19,-0.0009464966732871567,-0.0014436214532635898,False,False
100,2,nonlinear_proxy,False,polynomial_ridge,0.34,-0.000336384671893215,-0.0019158507284121168,False,False
100,2,nonlinear_proxy,False,polynomial_ridge_interactions,0.57,-0.0013157962378043259,-0.0013997940382056953,False,False
100,2,heteroskedastic_null,False,polynomial_ridge,0.09,-0.0006974119892487838,-0.003619457213549976,False,False
100,2,heteroskedastic_null,False,polynomial_ridge_interactions,0.17,0.0003012052801864423,-0.0007276219137692134,False,False
100,2,clustered_null,False,polynomial_ridge,0.27,-0.0033569651751111894,-0.0808503453280573,False,False
100,2,clustered_null,False,polynomial_ridge_interactions,0.76,-0.0008050509097517755,-0.05023895806106541,False,False
100,2,genuine_increment,True,polynomial_ridge,0.01,0.03278075377781407,0.021986339480073367,True,True
100,2,genuine_increment,True,polynomial_ridge_interactions,0.01,0.02852024305200558,0.02062927091778547,True,True
100,3,null_metric,False,polynomial_ridge,0.18,-0.0005871079899184527,-0.0028729766384280823,False,False
100,3,null_metric,False,polynomial_ridge_interactions,0.07,0.0005820181700737156,-0.0008447440249525325,False,False
100,3,nonlinear_proxy,False,polynomial_ridge,0.14,-0.0013172569640822925,-0.0021631625412243307,False,False
100,3,nonlinear_proxy,False,polynomial_ridge_interactions,0.66,-0.0005402587737702242,-0.0007397040307758439,False,False
100,3,heteroskedastic_null,False,polynomial_ridge,0.26,-0.0010766782276686229,-0.002714446992731675,False,False
100,3,heteroskedastic_null,False,polynomial_ridge_interactions,0.16,-0.00034570073365096984,-0.0007429125049574901,False,False
100,3,clustered_null,False,polynomial_ridge,0.66,-0.0056884725485039055,-0.041361008098080694,False,False
100,3,clustered_null,False,polynomial_ridge_interactions,0.17,-0.0009776168219405475,-0.1682414999100973,False,False
100,3,genuine_increment,True,polynomial_ridge,0.01,0.03034845290871172,0.023356785570283606,True,True
100,3,genuine_increment,True,polynomial_ridge_interactions,0.01,0.032926970535503176,0.02238240745989317,True,True
100,4,null_metric,False,polynomial_ridge,0.66,-0.0028675804173202216,-0.01016081565671484,False,False
