sample_size,scenario,expected_increment,nuisance_model,repetitions,joint_support_rate,predictive_support_rate,median_delta_mse,median_refit_ci_low
100,clustered_null,False,polynomial_ridge,20,0.0,0.0,-0.006321257528839165,-0.03735936440739639
100,clustered_null,False,polynomial_ridge_interactions,20,0.0,0.0,-0.0008913338658461615,-0.05755307573255182
100,genuine_increment,True,polynomial_ridge,20,1.0,1.0,0.044066027294960564,0.027966899339119278
100,genuine_increment,True,polynomial_ridge_interactions,20,1.0,1.0,0.043927875340895636,0.0300537763710075
100,heteroskedastic_null,False,polynomial_ridge,20,0.0,0.0,-0.0006281578031166017,-0.0019577832689497863
100,heteroskedastic_null,False,polynomial_ridge_interactions,20,0.0,0.0,-0.0001957760882466339,-0.0008936863571080487
100,nonlinear_proxy,False,polynomial_ridge,20,0.0,0.0,-0.0004411839869434414,-0.0012648199581870695
100,nonlinear_proxy,False,polynomial_ridge_interactions,20,0.0,0.05,2.8166535520471325e-05,-0.0006536273031334135
100,null_metric,False,polynomial_ridge,20,0.0,0.0,-0.0020797776474230697,-0.003814264898902309
100,null_metric,False,polynomial_ridge_interactions,20,0.0,0.0,-0.0004012774885202991,-0.0014312436282185783
200,clustered_null,False,polynomial_ridge,20,0.0,0.0,-0.0016101749068018808,-0.00858459550179483
200,clustered_null,False,polynomial_ridge_interactions,20,0.0,0.0,-0.0011022557664479397,-0.006978784935358919
200,genuine_increment,True,polynomial_ridge,20,1.0,1.0,0.04119431818653288,0.0326960069876274
200,genuine_increment,True,polynomial_ridge_interactions,20,1.0,1.0,0.041339457595011724,0.03199190784838364
200,heteroskedastic_null,False,polynomial_ridge,20,0.0,0.0,-0.00039589818560609256,-0.0006667373403917837
200,heteroskedastic_null,False,polynomial_ridge_interactions,20,0.0,0.0,-8.993734815880648e-05,-0.0003342686318562742
200,nonlinear_proxy,False,polynomial_ridge,20,0.0,0.0,-0.00010780161973254678,-0.00039787722821434405
200,nonlinear_proxy,False,polynomial_ridge_interactions,20,0.0,0.0,-6.526509621810391e-05,-0.0002295368035461564
200,null_metric,False,polynomial_ridge,20,0.0,0.0,-0.0007716870829311065,-0.001553978782392665
200,null_metric,False,polynomial_ridge_interactions,20,0.0,0.0,-0.000328287719038433,-0.0007433645474224713
