task,independence_units,alpha,power,minimum_detectable_abs_correlation
task1,96,0.05,0.8,0.28260493485149946
task1,96,0.05,0.9,0.32401760866917095
task2,54,0.05,0.8,0.3733416858166984
task2,54,0.05,0.9,0.4251019582322575
task4,96,0.05,0.8,0.28260493485149946
task4,96,0.05,0.9,0.32401760866917095
task5,64,0.05,0.8,0.3440739378456237
task5,64,0.05,0.9,0.39273822440584194
task6,96,0.05,0.8,0.28260493485149946
task6,96,0.05,0.9,0.32401760866917095
task7,48,0.05,0.8,0.3949367405566347
task7,48,0.05,0.9,0.44881598306498194
task8,64,0.05,0.8,0.3440739378456237
task8,64,0.05,0.9,0.39273822440584194
task9,32,0.05,0.8,0.4778862378869856
task9,32,0.05,0.9,0.5384245604657475
